Symbol|frequency|Huffman Codes
e|13.930000000000001%|101
t|9.19%|000
a|7.470000000000001%|1110
r|7.19%|1101
n|6.63%|1001
s|6.460000000000001%|1000
h|6.239999999999999%|0111
o|5.8500000000000005%|0110
i|5.79%|0101
l|5.24%|0011
d|4.29%|11111
c|2.79%|01001
u|2.67%|01000
f|2.5100000000000002%|00100
w|2.12%|111101
m|1.8900000000000001%|110010
g|1.8900000000000001%|110011
y|1.73%|110001
b|1.5599999999999998%|110000
p|1.23%|001010
k|0.5599999999999999%|11110010
v|0.38999999999999996%|00101111
T|0.27999999999999997%|00101100
q|0.27999999999999997%|111100111
H|0.22%|111100001
S|0.22%|111100000
A|0.16999999999999998%|001011011
x|0.16999999999999998%|001011101
z|0.16999999999999998%|001011100
B|0.16999999999999998%|1111001101
I|0.11%|1111001100
1|0.11%|1111000101
O|0.11%|1111000100
F|0.06%|11110001100
j|0.06%|11110001101
C|0.06%|00101101010
6|0.06%|0010110100
G|0.06%|11110001111
8|0.06%|00101101011
N|0.06%|11110001110
Total Bits:7659
